,ResponseId,human1,human2,human3,human4,human5,human6,human7,human8,phuman1,phuman2,phuman3,phuman4,phuman5,phuman6,phuman7,phuman8,relneg1,relneg2,relneg3,relneg4,rsrm1,rsrm2,rsrm3,rsrm4,aut1,aut2,aut3,rel1,rel2,rel3,rel4,prel1,prel2,prel3,prel4,evound1,evound2,evound3,evound4,evound5,evound6,evound7,evound8,evound9,evound10,evound11,evound12,evound13,evound14,race,course,semester,gender,biomajor,religion
1,R_0dCMy3GUi2TzWZr,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,4,2,2,2,4,4,4,4,4,4,4,2,3,2,3,1,3,2,3,1,1,1,0,1,1,1,1,1,1,1,1,1,0,4,1,5,1,1,6
2,R_0q5NAhYCiNNNb9v,3,4,4,4,4,4,3,3,4,3,4,4,4,4,3,3,2,2,2,2,4,4,4,4,4,4,4,2,3,3,3,3,3,3,4,1,0,1,1,1,1,1,1,0,1,1,1,1,0,2,1,5,1,1,3
3,R_10HjiSFOpBoZTzs,4,4,5,4,4,4,4,1,4,4,4,4,4,4,4,4,1,1,1,1,5,5,5,5,5,5,5,4,5,5,5,2,5,4,4,1,0,1,1,1,1,1,1,1,1,1,1,0,1,4,1,5,1,1,2
4,R_11XxvDt1zS7WrBg,4,5,5,4,5,5,4,4,5,4,5,5,5,5,5,5,2,2,2,2,4,4,4,4,4,4,4,1,3,1,5,1,2,2,4,1,1,1,1,0,1,1,1,1,1,1,0,1,0,3,1,5,2,1,6
5,R_12QCOSu4NqspKRR,3,2,3,2,2,2,1,3,2,2,2,1,1,2,1,4,2,2,2,2,5,4,3,5,5,4,4,2,5,5,5,2,5,4,5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,3,1,5,1,1,2
6,R_12sxj74b2L5Lsg8,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,1,3,1,3,1,2,1,3,0,0,1,1,0,1,0,1,1,1,1,1,1,1,4,1,5,1,0,6
7,R_12tEPdRbEp48330,4,2,2,5,4,1,2,1,5,1,5,5,5,5,5,5,1,1,1,1,6,6,6,6,6,6,6,1,1,1,1,1,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,5,2,1,6
8,R_1C2DfZMx1iuLCDI,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,1,1,1,1,2,2,2,2,6,6,6,1,3,1,4,1,2,1,4,1,0,1,1,1,1,1,1,1,1,1,1,0,1,2,1,5,1,1,6
9,R_1eLf8qujTvLkRLf,4,2,4,5,5,4,4,4,4,3,3,4,3,3,3,4,1,1,1,1,4,4,4,4,5,5,5,1,5,5,5,1,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,1,5,2,1,2
10,R_1eLy9tvYYWXXRMP,4,4,4,2,4,4,5,5,5,5,5,5,5,5,5,4,1,1,1,1,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,5,2,1,6
11,R_1giiTcoYAKBE3cA,5,4,4,5,4,4,5,5,5,4,4,5,5,5,5,5,1,1,1,1,2,1,1,1,6,3,5,2,5,3,5,2,5,3,5,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,5,1,1,6
12,R_1gIz5UM1Q4IdBMe,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,1,1,1,1,5,5,5,5,5,5,5,1,2,1,2,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,0,1,0,2,1,5,2,1,6
13,R_1gN5C280xxtHNxD,4,4,4,4,4,5,4,4,4,5,4,4,4,5,4,3,2,1,1,1,5,5,5,5,5,5,5,1,3,1,3,1,2,2,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,2,1,5,1,1,6
14,R_1Hc903wbaEJ5bEC,4,2,2,4,4,2,4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,4,4,3,4,5,5,4,3,5,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,5,1,1,2
15,R_1HdZD5XtfjdYm8m,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,5,4,5,5,5,5,5,1,4,3,2,2,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,1,1,4
16,R_1hPWtn1OO0EEiTU,4,4,5,4,4,4,4,4,4,3,5,4,3,3,4,4,1,1,1,1,6,6,5,5,6,6,6,3,4,3,5,3,3,3,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,1,1,6
17,R_1Hq8coypGSeoLgh,2,3,3,3,3,3,2,3,1,5,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,3,3,5,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4,1,5,2,1,2
18,R_1hWmE5YCxpHIgyp,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,1,4,6,5,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,1,1,6
19,R_1hXMvhpwrYaL6kF,4,4,5,4,4,4,4,4,4,5,5,5,4,5,4,4,1,1,1,1,5,5,5,5,3,5,3,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,1,1,6
20,R_1IFNtlwLr4CnzWK,4,4,4,4,4,4,4,3,5,4,5,3,4,5,5,5,2,2,2,2,5,6,6,6,2,2,2,1,3,1,1,1,3,1,4,1,0,1,1,1,1,1,1,0,1,1,1,0,1,4,1,5,1,1,6
